onset	duration	begsample	endsample	offset
9.8996	1.9	24750	29499	-2500
11.4748	1.9	28688	33437	-2500
13.2568	1.9	33143	37892	-2500
14.8828	1.9	37208	41957	-2500
16.508	1.9	41271	46020	-2500
17.9812	1.9	44954	49703	-2500
19.7132	1.9	49284	54033	-2500
21.2424	1.9	53107	57856	-2500
22.8724	1.9	57182	61931	-2500
24.5484	1.9	61372	66121	-2500
26.2804	1.9	65702	70451	-2500
27.9108	1.9	69778	74527	-2500
29.684	1.9	74211	78960	-2500
31.2128	1.9	78033	82782	-2500
32.838	1.9	82096	86845	-2500
34.4132	1.9	86034	90783	-2500
36.1404	1.9	90352	95101	-2500
37.6684	1.9	94172	98921	-2500
39.2436	1.9	98110	102859	-2500
41.0208	1.9	102553	107302	-2500
42.6468	1.9	106618	111367	-2500
44.3276	1.9	110820	115569	-2500
46.06	1.9	115151	119900	-2500
47.584	1.9	118961	123710	-2500
49.2092	1.9	123024	127773	-2500
50.6872	1.9	126719	131468	-2500
52.3684	1.9	130922	135671	-2500
53.8464	1.9	134617	139366	-2500
55.4264	1.9	138567	143316	-2500
57.0516	1.9	142630	147379	-2500
58.5248	1.9	146313	151062	-2500
60.2008	1.9	150503	155252	-2500
61.928	1.9	154821	159570	-2500
63.5032	1.9	158759	163508	-2500
65.0312	1.9	162579	167328	-2500
66.6572	1.9	166644	171393	-2500
68.4344	1.9	171087	175836	-2500
70.0604	1.9	175152	179901	-2500
71.6344	1.9	179087	183836	-2500
73.1076	1.9	182770	187519	-2500
74.6828	1.9	186708	191457	-2500
76.3588	1.9	190898	195647	-2500
77.984	1.9	194961	199710	-2500
79.564	1.9	198911	203660	-2500
81.194	1.9	202986	207735	-2500
82.6672	1.9	206669	211418	-2500
84.4452	1.9	211114	215863	-2500
86.1776	1.9	215445	220194	-2500
87.6556	1.9	219140	223889	-2500
89.3876	1.9	223470	228219	-2500
91.1188	1.9	227798	232547	-2500
92.796	1.9	231991	236740	-2500
94.4112	1.9	236029	240778	-2500
96.1932	1.9	240484	245233	-2500
97.8244	1.9	244562	249311	-2500
99.5564	1.9	248892	253641	-2500
101.2884	1.9	253222	257971	-2500
102.8176	1.9	257045	261794	-2500
104.3916	1.9	260980	265729	-2500
106.1696	1.9	265425	270174	-2500
107.8968	1.9	269743	274492	-2500
109.674	1.9	274186	278935	-2500
111.4064	1.9	278517	283266	-2500
113.0872	1.9	282719	287468	-2500
114.8192	1.9	287049	291798	-2500
116.5016	1.9	291255	296004	-2500
118.1776	1.9	295445	300194	-2500
119.854	1.9	299636	304385	-2500
121.4328	1.9	303583	308332	-2500
123.1148	1.9	307788	312537	-2500
124.892	1.9	312231	316980	-2500
126.4672	1.9	316169	320918	-2500
127.9964	1.9	319992	324741	-2500
129.6724	1.9	324182	328931	-2500
131.2972	1.9	328244	332993	-2500
132.8216	1.9	332055	336804	-2500
134.6036	1.9	336510	341259	-2500
136.2808	1.9	340703	345452	-2500
137.7536	1.9	344385	349134	-2500
139.384	1.9	348461	353210	-2500
141.014	1.9	352536	357285	-2500
142.64	1.9	356601	361350	-2500
