onset	duration	begsample	endsample	offset
9.6416	1.9	24105	28854	-2500
11.2256	1.9	28065	32814	-2500
12.9988	1.9	32498	37247	-2500
14.574	1.9	36436	41185	-2500
16.356	1.9	40891	45640	-2500
18.1344	1.9	45337	50086	-2500
19.8664	1.9	49667	54416	-2500
21.6444	1.9	54112	58861	-2500
23.3256	1.9	58315	63064	-2500
25.1028	1.9	62758	67507	-2500
26.734	1.9	66836	71585	-2500
28.506	1.9	71266	76015	-2500
30.238	1.9	75596	80345	-2500
31.9652	1.9	79914	84663	-2500
33.5404	1.9	83852	88601	-2500
35.3184	1.9	88297	93046	-2500
37.1004	1.9	92752	97501	-2500
38.6756	1.9	96690	101439	-2500
40.2596	1.9	100650	105399	-2500
41.738	1.9	104346	109095	-2500
43.2668	1.9	108168	112917	-2500
44.7448	1.9	111863	116612	-2500
46.2232	1.9	115559	120308	-2500
47.7472	1.9	119369	124118	-2500
49.3224	1.9	123307	128056	-2500
50.8556	1.9	127140	131889	-2500
52.4356	1.9	131090	135839	-2500
54.2088	1.9	135523	140272	-2500
55.9856	1.9	139965	144714	-2500
57.5608	1.9	143903	148652	-2500
59.0388	1.9	147598	152347	-2500
60.7712	1.9	151929	156678	-2500
62.4984	1.9	156247	160996	-2500
63.9712	1.9	159929	164678	-2500
65.6016	1.9	164005	168754	-2500
67.3744	1.9	168437	173186	-2500
69.1468	1.9	172868	177617	-2500
70.8328	1.9	177083	181832	-2500
72.51	1.9	181276	186025	-2500
74.242	1.9	185606	190355	-2500
75.8672	1.9	189669	194418	-2500
77.3912	1.9	193479	198228	-2500
79.0112	1.9	197529	202278	-2500
80.7884	1.9	201972	206721	-2500
82.3176	1.9	205795	210544	-2500
83.9436	1.9	209860	214609	-2500
85.7256	1.9	214315	219064	-2500
87.3008	1.9	218253	223002	-2500
88.8848	1.9	222213	226962	-2500
90.6172	1.9	226544	231293	-2500
92.2944	1.9	230737	235486	-2500
93.8684	1.9	234672	239421	-2500
95.6412	1.9	239104	243853	-2500
97.3684	1.9	243422	248171	-2500
99.1008	1.9	247753	252502	-2500
100.7768	1.9	251943	256692	-2500
102.31	1.9	255776	260525	-2500
103.9408	1.9	259853	264602	-2500
105.6732	1.9	264184	268933	-2500
107.4512	1.9	268629	273378	-2500
