onset	duration	begsample	endsample	offset
7.8726	2	39364	49363	-5000
8.9022	2	44512	54511	-5000
9.9284	2	49643	59642	-5000
10.9494	2	54748	64747	-5000
11.9752	2	59877	69876	-5000
13.0114	2	65058	75057	-5000
14.0424	2	70213	80212	-5000
15.0634	2	75318	85317	-5000
16.0946	2	80474	90473	-5000
17.1206	2	85604	95603	-5000
18.1424	2	90713	100712	-5000
19.1678	2	95840	105839	-5000
20.1988	2	100995	110994	-5000
21.225	2	106126	116125	-5000
22.241	2	111206	121205	-5000
23.272	2	116361	126360	-5000
24.303	2	121516	131515	-5000
25.3292	2	126647	136646	-5000
26.3552	2	131777	141776	-5000
27.3764	2	136883	146882	-5000
28.4024	2	142013	152012	-5000
29.4334	2	147168	157167	-5000
30.4594	2	152298	162297	-5000
31.4756	2	157379	167378	-5000
32.5016	2	162509	172508	-5000
33.5166	2	167584	177583	-5000
34.5328	2	172665	182664	-5000
35.5688	2	177845	187844	-5000
36.5948	2	182975	192974	-5000
37.631	2	188156	198155	-5000
38.652	2	193261	203260	-5000
39.678	2	198391	208390	-5000
40.7042	2	203522	213521	-5000
41.7302	2	208652	218651	-5000
42.7514	2	213758	223757	-5000
43.7674	2	218838	228837	-5000
44.8034	2	224018	234017	-5000
45.8246	2	229124	239123	-5000
46.8454	2	234228	244227	-5000
47.8716	2	239359	249358	-5000
48.9078	2	244540	254539	-5000
49.9288	2	249645	259644	-5000
50.9448	2	254725	264724	-5000
51.971	2	259856	269855	-5000
52.997	2	264986	274985	-5000
54.0232	2	270117	280116	-5000
55.0442	2	275222	285221	-5000
56.0592	2	280297	290296	-5000
57.0752	2	285377	295376	-5000
58.1114	2	290558	300557	-5000
59.1324	2	295663	305662	-5000
60.1586	2	300794	310793	-5000
61.1796	2	305899	315898	-5000
62.2056	2	311029	321028	-5000
63.2268	2	316135	326134	-5000
64.2528	2	321265	331264	-5000
65.2838	2	326420	336419	-5000
66.31	2	331551	341550	-5000
67.346	2	336731	346730	-5000
68.377	2	341886	351885	-5000
69.4082	2	347042	357041	-5000
70.4342	2	352172	362171	-5000
71.4552	2	357277	367276	-5000
72.4714	2	362358	372357	-5000
73.4874	2	367438	377437	-5000
74.5134	2	372568	382567	-5000
75.5286	2	377644	387643	-5000
76.5496	2	382749	392748	-5000
77.5756	2	387879	397878	-5000
78.6068	2	393035	403034	-5000
79.6378	2	398190	408189	-5000
80.6638	2	403320	413319	-5000
81.701	2	408506	418505	-5000
82.732	2	413661	423660	-5000
83.758	2	418791	428790	-5000
84.7782	2	423892	433891	-5000
85.7992	2	428997	438996	-5000
86.8302	2	434152	444151	-5000
87.8514	2	439258	449257	-5000
88.8674	2	444338	454337	-5000
89.8834	2	449418	459417	-5000
90.9096	2	454549	464548	-5000
91.9308	2	459655	469654	-5000
92.9568	2	464785	474784	-5000
93.9828	2	469915	479914	-5000
94.9988	2	474995	484994	-5000
96.03	2	480151	490150	-5000
97.056	2	485281	495280	-5000
98.071	2	490356	500355	-5000
99.087	2	495436	505435	-5000
100.1182	2	500592	510591	-5000
101.1494	2	505748	515747	-5000
102.1752	2	510877	520876	-5000
103.2114	2	516058	526057	-5000
104.2324	2	521163	531162	-5000
105.2484	2	526243	536242	-5000
106.2846	2	531424	541423	-5000
107.3056	2	536529	546528	-5000
108.3218	2	541610	551609	-5000
109.3526	2	546764	556763	-5000
110.3888	2	551945	561944	-5000
111.41	2	557051	567050	-5000
112.426	2	562131	572130	-5000
113.452	2	567261	577260	-5000
114.468	2	572341	582340	-5000
115.4992	2	577497	587496	-5000
116.5252	2	582627	592626	-5000
117.5464	2	587733	597732	-5000
118.5774	2	592888	602887	-5000
119.6034	2	598018	608017	-5000
120.6296	2	603149	613148	-5000
121.6496	2	608249	618248	-5000
122.6756	2	613379	623378	-5000
123.7128	2	618565	628564	-5000
124.7388	2	623695	633694	-5000
125.7648	2	628825	638824	-5000
126.801	2	634006	644005	-5000
127.827	2	639136	649135	-5000
128.853	2	644266	654265	-5000
129.8842	2	649422	659421	-5000
130.9102	2	654552	664551	-5000
131.9252	2	659627	669626	-5000
132.9624	2	664813	674812	-5000
133.9884	2	669943	679942	-5000
135.0146	2	675074	685073	-5000
136.0506	2	680254	690253	-5000
137.0716	2	685359	695358	-5000
138.0866	2	690434	700433	-5000
139.1178	2	695590	705589	-5000
140.1488	2	700745	710744	-5000
141.1748	2	705875	715874	-5000
142.191	2	710956	720955	-5000
143.217	2	716086	726085	-5000
144.2432	2	721217	731216	-5000
145.2692	2	726347	736346	-5000
146.2902	2	731452	741451	-5000
147.3162	2	736582	746581	-5000
148.3374	2	741688	751687	-5000
149.3634	2	746818	756817	-5000
150.3796	2	751899	761898	-5000
151.4106	2	757054	767053	-5000
152.4416	2	762209	772208	-5000
153.4678	2	767340	777339	-5000
154.4838	2	772420	782419	-5000
155.5198	2	777600	787599	-5000
156.541	2	782706	792705	-5000
157.556	2	787781	797780	-5000
158.588	2	792941	802940	-5000
159.6242	2	798122	808121	-5000
160.6552	2	803277	813276	-5000
161.6812	2	808407	818406	-5000
162.7024	2	813513	823512	-5000
163.7174	2	818588	828587	-5000
164.7334	2	823668	833667	-5000
165.7596	2	828799	838798	-5000
166.7756	2	833879	843878	-5000
167.8068	2	839035	849034	-5000
168.8328	2	844165	854164	-5000
169.8488	2	849245	859244	-5000
170.8798	2	854400	864399	-5000
171.911	2	859556	869555	-5000
172.937	2	864686	874685	-5000
173.953	2	869766	879765	-5000
174.9842	2	874922	884921	-5000
176.0102	2	880052	890051	-5000
