onset	duration	begsample	endsample	offset
15.2816	1.9	38205	42954	-2500
16.8096	1.9	42025	46774	-2500
18.3288	1.9	45823	50572	-2500
19.8068	1.9	49518	54267	-2500
21.488	1.9	53721	58470	-2500
23.012	1.9	57531	62280	-2500
24.7392	1.9	61849	66598	-2500
26.512	1.9	66281	71030	-2500
27.9904	1.9	69977	74726	-2500
29.7224	1.9	74307	79056	-2500
31.2964	1.9	78242	82991	-2500
32.8716	1.9	82180	86929	-2500
34.4048	1.9	86013	90762	-2500
36.132	1.9	90331	95080	-2500
37.7068	1.9	94268	99017	-2500
39.1852	1.9	97964	102713	-2500
40.764	1.9	101911	106660	-2500
42.4412	1.9	106104	110853	-2500
44.0156	1.9	110040	114789	-2500
45.5904	1.9	113977	118726	-2500
47.3676	1.9	118420	123169	-2500
48.8456	1.9	122115	126864	-2500
50.4716	1.9	126180	130929	-2500
52.0048	1.9	130013	134762	-2500
53.6868	1.9	134218	138967	-2500
55.2612	1.9	138154	142903	-2500
56.9884	1.9	142472	147221	-2500
58.6232	1.9	146559	151308	-2500
60.1016	1.9	150255	155004	-2500
61.7276	1.9	154320	159069	-2500
63.4548	1.9	158638	163387	-2500
65.0336	1.9	162585	167334	-2500
66.766	1.9	166916	171665	-2500
68.346	1.9	170866	175615	-2500
69.9712	1.9	174929	179678	-2500
71.698	1.9	179246	183995	-2500
73.1764	1.9	182942	187691	-2500
74.8064	1.9	187017	191766	-2500
76.4824	1.9	191207	195956	-2500
78.2096	1.9	195525	200274	-2500
79.9368	1.9	199843	204592	-2500
81.512	1.9	203781	208530	-2500
83.036	1.9	207591	212340	-2500
84.7672	1.9	211919	216668	-2500
86.2452	1.9	215614	220363	-2500
87.7244	1.9	219312	224061	-2500
89.4004	1.9	223502	228251	-2500
90.8736	1.9	227185	231934	-2500
92.4476	1.9	231120	235869	-2500
94.2208	1.9	235553	240302	-2500
95.6936	1.9	239235	243984	-2500
97.2268	1.9	243068	247817	-2500
98.802	1.9	247006	251755	-2500
100.5752	1.9	251439	256188	-2500
102.2512	1.9	255629	260378	-2500
103.7792	1.9	259449	264198	-2500
105.4104	1.9	263527	268276	-2500
106.9344	1.9	267337	272086	-2500
108.4676	1.9	271170	275919	-2500
110.0936	1.9	275235	279984	-2500
111.5668	1.9	278918	283667	-2500
113.04	1.9	282601	287350	-2500
114.6192	1.9	286549	291298	-2500
116.2452	1.9	290614	295363	-2500
117.9212	1.9	294804	299553	-2500
119.6484	1.9	299122	303871	-2500
121.1212	1.9	302804	307553	-2500
122.9036	1.9	307260	312009	-2500
124.5296	1.9	311325	316074	-2500
126.3116	1.9	315780	320529	-2500
127.892	1.9	319731	324480	-2500
129.568	1.9	323921	328670	-2500
131.092	1.9	327731	332480	-2500
132.7684	1.9	331922	336671	-2500
134.4952	1.9	336239	340988	-2500
136.2776	1.9	340695	345444	-2500
137.9596	1.9	344900	349649	-2500
139.4876	1.9	348720	353469	-2500
141.0676	1.9	352670	357419	-2500
142.8	1.9	357001	361750	-2500
144.38	1.9	360951	365700	-2500
146.112	1.9	365281	370030	-2500
147.788	1.9	369471	374220	-2500
149.5652	1.9	373914	378663	-2500
151.1404	1.9	377852	382601	-2500
152.8216	1.9	382055	386804	-2500
154.4568	1.9	386143	390892	-2500
156.1336	1.9	390335	395084	-2500
157.612	1.9	394031	398780	-2500
159.186	1.9	397966	402715	-2500
160.6592	1.9	401649	406398	-2500
162.234	1.9	405586	410335	-2500
163.7124	1.9	409282	414031	-2500
165.2864	1.9	413217	417966	-2500
166.8152	1.9	417039	421788	-2500
168.2936	1.9	420735	425484	-2500
169.9748	1.9	424938	429687	-2500
171.7476	1.9	429370	434119	-2500
173.322	1.9	433306	438055	-2500
174.8968	1.9	437243	441992	-2500
176.37	1.9	440926	445675	-2500
177.9032	1.9	444759	449508	-2500
179.3812	1.9	448454	453203	-2500
180.8592	1.9	452149	456898	-2500
182.3884	1.9	455972	460721	-2500
184.0696	1.9	460175	464924	-2500
185.5476	1.9	463870	468619	-2500
187.0768	1.9	467693	472442	-2500
188.7028	1.9	471758	476507	-2500
190.48	1.9	476201	480950	-2500
