onset	duration	begsample	endsample	offset
1.694	1.9	8471	17970	-5000
3.2542	1.9	16272	25771	-5000
4.7722	1.9	23862	33361	-5000
6.2004	1.9	31003	40502	-5000
7.7644	1.9	38823	48322	-5000
9.2016	1.9	46009	55508	-5000
10.7106	1.9	53554	63053	-5000
12.2898	1.9	61450	70949	-5000
13.8188	1.9	69095	78594	-5000
15.124	1.9	75621	85120	-5000
16.547	1.9	82736	92235	-5000
18.1822	1.9	90912	100411	-5000
19.5592	1.9	97797	107296	-5000
21.1334	1.9	105668	115167	-5000
22.6164	1.9	113083	122582	-5000
24.1456	1.9	120729	130228	-5000
25.7656	1.9	128829	138328	-5000
27.2798	1.9	136400	145899	-5000
28.6708	1.9	143355	152854	-5000
30.053	1.9	150266	159765	-5000
31.653	1.9	158266	167765	-5000
32.9582	1.9	164792	174291	-5000
34.5942	1.9	172972	182471	-5000
36.2344	1.9	181173	190672	-5000
37.6214	1.9	188108	197607	-5000
39.1096	1.9	195549	205048	-5000
40.4146	1.9	202074	211573	-5000
42.0408	1.9	210205	219704	-5000
43.3918	1.9	216960	226459	-5000
44.773	1.9	223866	233365	-5000
46.342	1.9	231711	241210	-5000
47.8102	1.9	239052	248551	-5000
49.2732	1.9	246367	255866	-5000
50.8984	1.9	254493	263992	-5000
52.3664	1.9	261833	271332	-5000
53.7836	1.9	268919	278418	-5000
55.2976	1.9	276489	285988	-5000
56.6588	1.9	283295	292794	-5000
58.1368	1.9	290685	300184	-5000
59.701	1.9	298506	308005	-5000
61.129	1.9	305646	315145	-5000
62.5972	1.9	312987	322486	-5000
63.9222	1.9	319612	329111	-5000
65.4872	1.9	327437	336936	-5000
66.8734	1.9	334368	343867	-5000
68.4326	1.9	342164	351663	-5000
69.7586	1.9	348794	358293	-5000
71.3386	1.9	356694	366193	-5000
72.6488	1.9	363245	372744	-5000
74.2838	1.9	371420	380919	-5000
75.747	1.9	378736	388235	-5000
77.261	1.9	386306	395805	-5000
78.7592	1.9	393797	403296	-5000
80.0752	1.9	400377	409876	-5000
81.4714	1.9	407358	416857	-5000
82.7874	1.9	413938	423437	-5000
84.1536	1.9	420769	430268	-5000
85.6516	1.9	428259	437758	-5000
87.0138	1.9	435070	444569	-5000
88.5418	1.9	442710	452209	-5000
90.183	1.9	450916	460415	-5000
91.646	1.9	458231	467730	-5000
93.2202	1.9	466102	475601	-5000
94.8612	1.9	474307	483806	-5000
96.1564	1.9	480783	490282	-5000
97.6194	1.9	488098	497597	-5000
99.0106	1.9	495054	504553	-5000
100.5346	1.9	502674	512173	-5000
102.0488	1.9	510245	519744	-5000
103.6588	1.9	518295	527794	-5000
104.99	1.9	524951	534450	-5000
106.315	1.9	531576	541075	-5000
107.7472	1.9	538737	548236	-5000
109.3072	1.9	546537	556036	-5000
110.8204	1.9	554103	563602	-5000
