onset	duration	begsample	endsample	offset
11.2596	0.9	28150	30399	-750
11.8164	0.9	29542	31791	-750
12.3704	0.9	30927	33176	-750
12.9236	0.9	32310	34559	-750
13.4776	0.9	33695	35944	-750
14.0316	0.9	35080	37329	-750
14.5848	0.9	36463	38712	-750
15.1388	0.9	37848	40097	-750
15.6916	0.9	39230	41479	-750
16.2456	0.9	40615	42864	-750
16.8048	0.9	42013	44262	-750
17.358	0.9	43396	45645	-750
17.912	0.9	44781	47030	-750
18.466	0.9	46166	48415	-750
19.0188	0.9	47548	49797	-750
19.5732	0.9	48934	51183	-750
20.126	0.9	50316	52565	-750
20.68	0.9	51701	53950	-750
21.234	0.9	53086	55335	-750
21.7872	0.9	54469	56718	-750
22.3412	0.9	55854	58103	-750
22.8952	0.9	57239	59488	-750
23.4484	0.9	58622	60871	-750
24.0024	0.9	60007	62256	-750
24.5552	0.9	61389	63638	-750
25.1092	0.9	62774	65023	-750
25.6636	0.9	64160	66409	-750
26.2164	0.9	65542	67791	-750
26.7704	0.9	66927	69176	-750
27.3236	0.9	68310	70559	-750
27.8776	0.9	69695	71944	-750
28.4316	0.9	71080	73329	-750
28.9848	0.9	72463	74712	-750
29.5388	0.9	73848	76097	-750
30.0928	0.9	75233	77482	-750
30.6456	0.9	76615	78864	-750
31.1996	0.9	78000	80249	-750
31.7528	0.9	79383	81632	-750
32.3068	0.9	80768	83017	-750
32.8608	0.9	82153	84402	-750
33.414	0.9	83536	85785	-750
33.968	0.9	84921	87170	-750
34.5208	0.9	86303	88552	-750
35.0752	0.9	87689	89938	-750
35.6288	0.9	89073	91322	-750
36.182	0.9	90456	92705	-750
36.736	0.9	91841	94090	-750
37.29	0.9	93226	95475	-750
37.8432	0.9	94609	96858	-750
38.3972	0.9	95994	98243	-750
38.9504	0.9	97377	99626	-750
39.5044	0.9	98762	101011	-750
40.0592	0.9	100149	102398	-750
40.6164	0.9	101542	103791	-750
41.1704	0.9	102927	105176	-750
41.7244	0.9	104312	106561	-750
42.2772	0.9	105694	107943	-750
42.8316	0.9	107080	109329	-750
43.3844	0.9	108462	110711	-750
43.9388	0.9	109848	112097	-750
44.4928	0.9	111233	113482	-750
45.0456	0.9	112615	114864	-750
45.5996	0.9	114000	116249	-750
46.1536	0.9	115385	117634	-750
46.7068	0.9	116768	119017	-750
47.2608	0.9	118153	120402	-750
47.814	0.9	119536	121785	-750
48.3676	0.9	120920	123169	-750
48.922	0.9	122306	124555	-750
49.4748	0.9	123688	125937	-750
50.0288	0.9	125073	127322	-750
50.5828	0.9	126458	128707	-750
51.136	0.9	127841	130090	-750
51.69	0.9	129226	131475	-750
52.2432	0.9	130609	132858	-750
52.7972	0.9	131994	134243	-750
53.3512	0.9	133379	135628	-750
53.9044	0.9	134762	137011	-750
54.4584	0.9	136147	138396	-750
55.0124	0.9	137532	139781	-750
55.5652	0.9	138914	141163	-750
56.1192	0.9	140299	142548	-750
56.6724	0.9	141682	143931	-750
57.2264	0.9	143067	145316	-750
57.7804	0.9	144452	146701	-750
58.3336	0.9	145835	148084	-750
58.8876	0.9	147220	149469	-750
59.4404	0.9	148602	150851	-750
59.9948	0.9	149988	152237	-750
60.5484	0.9	151372	153621	-750
61.1016	0.9	152755	155004	-750
61.6556	0.9	154140	156389	-750
62.2096	0.9	155525	157774	-750
62.7628	0.9	156908	159157	-750
63.3168	0.9	158293	160542	-750
63.8708	0.9	159678	161927	-750
64.424	0.9	161061	163310	-750
64.978	0.9	162446	164695	-750
65.5308	0.9	163828	166077	-750
66.0848	0.9	165213	167462	-750
66.6392	0.9	166599	168848	-750
67.192	0.9	167981	170230	-750
67.746	0.9	169366	171615	-750
68.2992	0.9	170749	172998	-750
68.8532	0.9	172134	174383	-750
69.4072	0.9	173519	175768	-750
69.96	0.9	174901	177150	-750
70.5144	0.9	176287	178536	-750
71.0672	0.9	177669	179918	-750
71.6212	0.9	179054	181303	-750
72.1752	0.9	180439	182688	-750
72.7284	0.9	181822	184071	-750
73.2824	0.9	183207	185456	-750
73.8364	0.9	184592	186841	-750
74.3896	0.9	185975	188224	-750
74.9436	0.9	187360	189609	-750
75.4964	0.9	188742	190991	-750
76.0508	0.9	190128	192377	-750
76.6048	0.9	191513	193762	-750
77.158	0.9	192896	195145	-750
77.7116	0.9	194280	196529	-750
78.2656	0.9	195665	197914	-750
78.8188	0.9	197048	199297	-750
79.3728	0.9	198433	200682	-750
79.926	0.9	199816	202065	-750
80.48	0.9	201201	203450	-750
81.034	0.9	202586	204835	-750
81.5868	0.9	203968	206217	-750
82.1408	0.9	205353	207602	-750
82.6952	0.9	206739	208988	-750
83.248	0.9	208121	210370	-750
83.802	0.9	209506	211755	-750
84.3552	0.9	210889	213138	-750
84.9092	0.9	212274	214523	-750
85.4632	0.9	213659	215908	-750
86.0164	0.9	215042	217291	-750
86.5704	0.9	216427	218676	-750
87.1232	0.9	217809	220058	-750
87.6772	0.9	219194	221443	-750
88.2312	0.9	220579	222828	-750
88.7844	0.9	221962	224211	-750
89.3384	0.9	223347	225596	-750
89.8924	0.9	224732	226981	-750
90.4456	0.9	226115	228364	-750
90.9996	0.9	227500	229749	-750
91.5524	0.9	228882	231131	-750
92.1068	0.9	230268	232517	-750
92.6608	0.9	231653	233902	-750
93.2136	0.9	233035	235284	-750
93.7676	0.9	234420	236669	-750
94.3216	0.9	235805	238054	-750
94.8748	0.9	237188	239437	-750
95.4288	0.9	238573	240822	-750
95.982	0.9	239956	242205	-750
96.536	0.9	241341	243590	-750
97.09	0.9	242726	244975	-750
97.6428	0.9	244108	246357	-750
98.1968	0.9	245493	247742	-750
98.7512	0.9	246879	249128	-750
99.304	0.9	248261	250510	-750
99.858	0.9	249646	251895	-750
100.4112	0.9	251029	253278	-750
100.9652	0.9	252414	254663	-750
101.5192	0.9	253799	256048	-750
102.0724	0.9	255182	257431	-750
102.6264	0.9	256567	258816	-750
103.1792	0.9	257949	260198	-750
103.7332	0.9	259334	261583	-750
104.2872	0.9	260719	262968	-750
104.8404	0.9	262102	264351	-750
105.3944	0.9	263487	265736	-750
105.9484	0.9	264872	267121	-750
106.5016	0.9	266255	268504	-750
107.0556	0.9	267640	269889	-750
107.6088	0.9	269023	271272	-750
108.1628	0.9	270408	272657	-750
108.7168	0.9	271793	274042	-750
109.2696	0.9	273175	275424	-750
109.8236	0.9	274560	276809	-750
110.3768	0.9	275943	278192	-750
110.9308	0.9	277328	279577	-750
111.4848	0.9	278713	280962	-750
112.038	0.9	280096	282345	-750
112.592	0.9	281481	283730	-750
113.146	0.9	282866	285115	-750
113.6988	0.9	284248	286497	-750
114.2532	0.9	285634	287883	-750
114.806	0.9	287016	289265	-750
115.36	0.9	288401	290650	-750
115.914	0.9	289786	292035	-750
116.4672	0.9	291169	293418	-750
117.0212	0.9	292554	294803	-750
117.5752	0.9	293939	296188	-750
118.1284	0.9	295322	297571	-750
118.6824	0.9	296707	298956	-750
