onset	duration	begsample	endsample	offset
0.2048	1.9	513	5262	-2500
1.7328	1.9	4333	9082	-2500
3.2568	1.9	8143	12892	-2500
4.8372	1.9	12094	16843	-2500
6.3712	1.9	15929	20678	-2500
8.0472	1.9	20119	24868	-2500
9.6212	1.9	24054	28803	-2500
11.3536	1.9	28385	33134	-2500
12.9884	1.9	32472	37221	-2500
14.5176	1.9	36295	41044	-2500
16.0468	1.9	40118	44867	-2500
17.6768	1.9	44193	48942	-2500
19.41	1.9	48526	53275	-2500
21.1872	1.9	52969	57718	-2500
22.9652	1.9	57414	62163	-2500
24.7424	1.9	61857	66606	-2500
26.3736	1.9	65935	70684	-2500
28.1108	1.9	70278	75027	-2500
29.6348	1.9	74088	78837	-2500
31.2136	1.9	78035	82784	-2500
32.9	1.9	82251	87000	-2500
34.6732	1.9	86684	91433	-2500
36.354	1.9	90886	95635	-2500
38.0812	1.9	95204	99953	-2500
39.7124	1.9	99282	104031	-2500
41.3884	1.9	103472	108221	-2500
42.9216	1.9	107305	112054	-2500
44.5988	1.9	111498	116247	-2500
46.0768	1.9	115193	119942	-2500
47.854	1.9	119636	124385	-2500
49.4288	1.9	123573	128322	-2500
50.9072	1.9	127269	132018	-2500
52.6344	1.9	131587	136336	-2500
54.2592	1.9	135649	140398	-2500
55.7376	1.9	139345	144094	-2500
57.3724	1.9	143432	148181	-2500
59.1048	1.9	147763	152512	-2500
60.5828	1.9	151458	156207	-2500
62.31	1.9	155776	160525	-2500
63.834	1.9	159586	164335	-2500
65.5152	1.9	163789	168538	-2500
67.2424	1.9	168107	172856	-2500
68.7204	1.9	171802	176551	-2500
70.4016	1.9	176005	180754	-2500
71.8848	1.9	179713	184462	-2500
73.4088	1.9	183523	188272	-2500
74.984	1.9	187461	192210	-2500
76.7608	1.9	191903	196652	-2500
78.4928	1.9	196233	200982	-2500
80.1192	1.9	200299	205048	-2500
81.7492	1.9	204374	209123	-2500
83.5224	1.9	208807	213556	-2500
85.0004	1.9	212502	217251	-2500
86.5744	1.9	216437	221186	-2500
88.2044	1.9	220512	225261	-2500
89.8816	1.9	224705	229454	-2500
91.614	1.9	229036	233785	-2500
93.2388	1.9	233098	237847	-2500
94.818	1.9	237046	241795	-2500
96.3932	1.9	240984	245733	-2500
98.0232	1.9	245059	249808	-2500
99.7052	1.9	249264	254013	-2500
101.3816	1.9	253455	258204	-2500
102.9556	1.9	257390	262139	-2500
104.5868	1.9	261468	266217	-2500
106.2628	1.9	265658	270407	-2500
107.8368	1.9	269593	274342	-2500
109.31	1.9	273276	278025	-2500
110.9912	1.9	277479	282228	-2500
112.6176	1.9	281545	286294	-2500
114.0952	1.9	285239	289988	-2500
115.6284	1.9	289072	293821	-2500
117.2596	1.9	293150	297899	-2500
118.9916	1.9	297480	302229	-2500
120.5208	1.9	301303	306052	-2500
122.1968	1.9	305493	310242	-2500
123.8268	1.9	309568	314317	-2500
125.402	1.9	313506	318255	-2500
127.0324	1.9	317582	322331	-2500
128.7084	1.9	321772	326521	-2500
130.2324	1.9	325582	330331	-2500
131.8576	1.9	329645	334394	-2500
133.4328	1.9	333583	338332	-2500
134.9656	1.9	337415	342164	-2500
136.592	1.9	341481	346230	-2500
138.116	1.9	345291	350040	-2500
139.8472	1.9	349619	354368	-2500
141.6204	1.9	354052	358801	-2500
143.2964	1.9	358242	362991	-2500
144.8712	1.9	362179	366928	-2500
146.6536	1.9	366635	371384	-2500
148.2336	1.9	370585	375334	-2500
150.0068	1.9	375018	379767	-2500
151.734	1.9	379336	384085	-2500
153.4648	1.9	383663	388412	-2500
155.04	1.9	387601	392350	-2500
156.716	1.9	391791	396540	-2500
158.1892	1.9	395474	400223	-2500
159.7184	1.9	399297	404046	-2500
161.2976	1.9	403245	407994	-2500
162.7756	1.9	406940	411689	-2500
164.4016	1.9	411005	415754	-2500
166.1788	1.9	415448	420197	-2500
167.8608	1.9	419653	424402	-2500
169.5372	1.9	423844	428593	-2500
171.314	1.9	428286	433035	-2500
173.0872	1.9	432719	437468	-2500
174.5652	1.9	436414	441163	-2500
176.3384	1.9	440847	445596	-2500
178.0704	1.9	445177	449926	-2500
179.7468	1.9	449368	454117	-2500
181.3768	1.9	453443	458192	-2500
182.85	1.9	457126	461875	-2500
184.374	1.9	460936	465685	-2500
185.9992	1.9	464999	469748	-2500
187.6344	1.9	469087	473836	-2500
189.2144	1.9	473037	477786	-2500
190.7436	1.9	476860	481609	-2500
192.2216	1.9	480555	485304	-2500
193.7456	1.9	484365	489114	-2500
195.5228	1.9	488808	493557	-2500
197.204	1.9	493011	497760	-2500
198.9768	1.9	497443	502192	-2500
200.7092	1.9	501774	506523	-2500
202.3852	1.9	505964	510713	-2500
203.8584	1.9	509647	514396	-2500
205.4336	1.9	513585	518334	-2500
207.0076	1.9	517520	522269	-2500
208.6376	1.9	521595	526344	-2500
