onset	duration	begsample	endsample	offset
4.3352	1.9	10839	15588	-2500
5.9104	1.9	14777	19526	-2500
7.5456	1.9	18865	23614	-2500
9.1208	1.9	22803	27552	-2500
10.7556	1.9	26890	31639	-2500
12.2848	1.9	30713	35462	-2500
13.9108	1.9	34778	39527	-2500
15.444	1.9	38611	43360	-2500
17.0652	1.9	42664	47413	-2500
18.7464	1.9	46867	51616	-2500
20.2704	1.9	50677	55426	-2500
21.7436	1.9	54360	59109	-2500
23.2764	1.9	58192	62941	-2500
24.8008	1.9	62003	66752	-2500
26.2736	1.9	65685	70434	-2500
27.742	1.9	69356	74105	-2500
29.4228	1.9	73558	78307	-2500
31.0992	1.9	77749	82498	-2500
32.8264	1.9	82067	86816	-2500
34.4012	1.9	86004	90753	-2500
36.0776	1.9	90195	94944	-2500
37.7076	1.9	94270	99019	-2500
39.2368	1.9	98093	102842	-2500
40.9176	1.9	102295	107044	-2500
42.594	1.9	106486	111235	-2500
44.372	1.9	110931	115680	-2500
46.0992	1.9	115249	119998	-2500
47.7292	1.9	119324	124073	-2500
49.3592	1.9	123399	128148	-2500
50.9904	1.9	127477	132226	-2500
52.5144	1.9	131287	136036	-2500
54.0888	1.9	135223	139972	-2500
55.7696	1.9	139425	144174	-2500
57.3448	1.9	143363	148112	-2500
59.122	1.9	147806	152555	-2500
60.6	1.9	151501	156250	-2500
62.3272	1.9	155819	160568	-2500
64.0592	1.9	160149	164898	-2500
65.5424	1.9	163857	168606	-2500
67.0664	1.9	167667	172416	-2500
68.5904	1.9	171477	176226	-2500
70.3676	1.9	175920	180669	-2500
72.0448	1.9	180113	184862	-2500
73.822	1.9	184556	189305	-2500
75.6	1.9	189001	193750	-2500
77.3732	1.9	193434	198183	-2500
78.8508	1.9	197128	201877	-2500
80.3292	1.9	200824	205573	-2500
81.8624	1.9	204657	209406	-2500
83.5396	1.9	208850	213599	-2500
85.0676	1.9	212670	217419	-2500
86.5508	1.9	216378	221127	-2500
88.182	1.9	220456	225205	-2500
89.66	1.9	224151	228900	-2500
91.2392	1.9	228099	232848	-2500
92.9164	1.9	232292	237041	-2500
94.3944	1.9	235987	240736	-2500
96.1256	1.9	240315	245064	-2500
97.8984	1.9	244747	249496	-2500
99.5796	1.9	248950	253699	-2500
101.3528	1.9	253383	258132	-2500
102.826	1.9	257066	261815	-2500
104.6028	1.9	261508	266257	-2500
106.376	1.9	265941	270690	-2500
107.9512	1.9	269879	274628	-2500
109.5764	1.9	273942	278691	-2500
111.0492	1.9	277624	282373	-2500
112.5736	1.9	281435	286184	-2500
114.3056	1.9	285765	290514	-2500
116.0828	1.9	290208	294957	-2500
117.612	1.9	294031	298780	-2500
119.3852	1.9	298464	303213	-2500
121.162	1.9	302906	307655	-2500
122.7372	1.9	306844	311593	-2500
124.4692	1.9	311174	315923	-2500
126.2464	1.9	315617	320366	-2500
127.7704	1.9	319427	324176	-2500
129.4976	1.9	323745	328494	-2500
131.0268	1.9	327568	332317	-2500
132.7028	1.9	331758	336507	-2500
134.43	1.9	336076	340825	-2500
136.162	1.9	340406	345155	-2500
137.6864	1.9	344217	348966	-2500
139.2604	1.9	348152	352901	-2500
141.0336	1.9	352585	357334	-2500
142.6124	1.9	356532	361281	-2500
144.3396	1.9	360850	365599	-2500
146.0616	1.9	365155	369904	-2500
147.692	1.9	369231	373980	-2500
149.2668	1.9	373168	377917	-2500
150.7452	1.9	376864	381613	-2500
152.324	1.9	380811	385560	-2500
153.8532	1.9	384634	389383	-2500
155.4332	1.9	388584	393333	-2500
156.9116	1.9	392280	397029	-2500
158.5924	1.9	396482	401231	-2500
160.1216	1.9	400305	405054	-2500
161.8488	1.9	404623	409372	-2500
163.6308	1.9	409078	413827	-2500
165.308	1.9	413271	418020	-2500
166.8412	1.9	417104	421853	-2500
168.3652	1.9	420914	425663	-2500
170.1384	1.9	425347	430096	-2500
171.7636	1.9	429410	434159	-2500
173.4956	1.9	433740	438489	-2500
175.2688	1.9	438173	442922	-2500
176.7416	1.9	441855	446604	-2500
178.22	1.9	445551	450300	-2500
179.794	1.9	449486	454235	-2500
181.5212	1.9	453804	458553	-2500
183.2484	1.9	458122	462871	-2500
184.8784	1.9	462197	466946	-2500
186.5596	1.9	466400	471149	-2500
188.1396	1.9	470350	475099	-2500
189.9128	1.9	474783	479532	-2500
191.6896	1.9	479225	483974	-2500
193.4628	1.9	483658	488407	-2500
194.9872	1.9	487469	492218	-2500
196.566	1.9	491416	496165	-2500
198.1924	1.9	495482	500231	-2500
199.7204	1.9	499302	504051	-2500
201.4024	1.9	503507	508256	-2500
202.8796	1.9	507200	511949	-2500
204.4088	1.9	511023	515772	-2500
206.0348	1.9	515088	519837	-2500
207.6648	1.9	519163	523912	-2500
209.346	1.9	523366	528115	-2500
210.9212	1.9	527304	532053	-2500
212.5004	1.9	531252	536001	-2500
214.1812	1.9	535454	540203	-2500
215.8124	1.9	539532	544281	-2500
217.3976	1.9	543495	548244	-2500
219.0736	1.9	547685	552434	-2500
220.8508	1.9	552128	556877	-2500
222.3748	1.9	555938	560687	-2500
223.848	1.9	559621	564370	-2500
225.3212	1.9	563304	568053	-2500
226.8452	1.9	567114	571863	-2500
228.3232	1.9	570809	575558	-2500
230.1004	1.9	575252	580001	-2500
231.6244	1.9	579062	583811	-2500
233.3564	1.9	583392	588141	-2500
234.9368	1.9	587343	592092	-2500
236.4648	1.9	591163	595912	-2500
238.192	1.9	595481	600230	-2500
244.6684	1.9	611672	616421	-2500
246.3956	1.9	615990	620739	-2500
248.0304	1.9	620077	624826	-2500
249.6108	1.9	624028	628777	-2500
251.14	1.9	627851	632600	-2500
252.862	1.9	632156	636905	-2500
254.436	1.9	636091	640840	-2500
256.214	1.9	640536	645285	-2500
257.692	1.9	644231	648980	-2500
259.1704	1.9	647927	652676	-2500
260.8004	1.9	652002	656751	-2500
262.3296	1.9	655825	660574	-2500
263.8584	1.9	659647	664396	-2500
265.3828	1.9	663458	668207	-2500
267.114	1.9	667786	672535	-2500
268.6888	1.9	671723	676472	-2500
270.3192	1.9	675799	680548	-2500
271.8992	1.9	679749	684498	-2500
273.4744	1.9	683687	688436	-2500
274.9524	1.9	687382	692131	-2500
276.6284	1.9	691572	696321	-2500
278.3556	1.9	695890	700639	-2500
279.8336	1.9	699585	704334	-2500
281.4076	1.9	703520	708269	-2500
283.1808	1.9	707953	712702	-2500
284.9632	1.9	712409	717158	-2500
286.5892	1.9	716474	721223	-2500
288.2144	1.9	720537	725286	-2500
289.8444	1.9	724612	729361	-2500
291.4756	1.9	728690	733439	-2500
293.2524	1.9	733132	737881	-2500
294.9296	1.9	737325	742074	-2500
296.5036	1.9	741260	746009	-2500
298.282	1.9	745706	750455	-2500
299.958	1.9	749896	754645	-2500
301.4312	1.9	753579	758328	-2500
303.1072	1.9	757769	762518	-2500
304.6864	1.9	761717	766466	-2500
306.2156	1.9	765540	770289	-2500
307.9476	1.9	769870	774619	-2500
309.5736	1.9	773935	778684	-2500
311.2496	1.9	778125	782874	-2500
312.8748	1.9	782188	786937	-2500
314.5508	1.9	786378	791127	-2500
316.1812	1.9	790454	795203	-2500
317.8124	1.9	794532	799281	-2500
319.5904	1.9	798977	803726	-2500
321.2664	1.9	803167	807916	-2500
322.9984	1.9	807497	812246	-2500
324.5316	1.9	811330	816079	-2500
326.1628	1.9	815408	820157	-2500
327.844	1.9	819611	824360	-2500
329.52	1.9	823801	828550	-2500
331.2012	1.9	828004	832753	-2500
332.6792	1.9	831699	836448	-2500
334.3052	1.9	835764	840513	-2500
335.7784	1.9	839447	844196	-2500
337.2564	1.9	843142	847891	-2500
338.7844	1.9	846962	851711	-2500
340.3088	1.9	850773	855522	-2500
341.9388	1.9	854848	859597	-2500
343.666	1.9	859166	863915	-2500
345.292	1.9	863231	867980	-2500
346.866	1.9	867166	871915	-2500
348.5524	1.9	871382	876131	-2500
350.0764	1.9	875192	879941	-2500
351.6516	1.9	879130	883879	-2500
353.2816	1.9	883205	887954	-2500
355.0548	1.9	887638	892387	-2500
356.528	1.9	891321	896070	-2500
358.1528	1.9	895383	900132	-2500
359.8852	1.9	899714	904463	-2500
361.4692	1.9	903674	908423	-2500
362.9484	1.9	907372	912121	-2500
364.4764	1.9	911192	915941	-2500
365.9544	1.9	914887	919636	-2500
367.4784	1.9	918697	923446	-2500
369.1548	1.9	922888	927637	-2500
370.7856	1.9	926965	931714	-2500
372.462	1.9	931156	935905	-2500
373.996	1.9	934991	939740	-2500
375.474	1.9	938686	943435	-2500
377.2052	1.9	943014	947763	-2500
378.9784	1.9	947447	952196	-2500
380.7052	1.9	951764	956513	-2500
382.2296	1.9	955575	960324	-2500
383.7024	1.9	959257	964006	-2500
385.1756	1.9	962940	967689	-2500
386.654	1.9	966636	971385	-2500
388.228	1.9	970571	975320	-2500
389.9552	1.9	974889	979638	-2500
391.4332	1.9	978584	983333	-2500
393.1092	1.9	982774	987523	-2500
394.5824	1.9	986457	991206	-2500
396.2076	1.9	990520	995269	-2500
397.7316	1.9	994330	999079	-2500
399.4636	1.9	998660	1003409	-2500
400.9928	1.9	1002483	1007232	-2500
