onset	duration	begsample	endsample	offset
4.7356	1.9	11840	16589	-2500
6.5136	1.9	16285	21034	-2500
8.1388	1.9	20348	25097	-2500
9.8148	1.9	24538	29287	-2500
11.3388	1.9	28348	33097	-2500
12.9232	1.9	32309	37058	-2500
14.3972	1.9	35994	40743	-2500
16.0732	1.9	40184	44933	-2500
17.6984	1.9	44247	48996	-2500
19.4304	1.9	48577	53326	-2500
21.2076	1.9	53020	57769	-2500
22.6856	1.9	56715	61464	-2500
24.2148	1.9	60538	65287	-2500
25.7388	1.9	64348	69097	-2500
27.2172	1.9	68044	72793	-2500
28.8472	1.9	72119	76868	-2500
30.3712	1.9	75929	80678	-2500
31.9464	1.9	79867	84616	-2500
33.6224	1.9	84057	88806	-2500
35.2064	1.9	88017	92766	-2500
36.7868	1.9	91968	96717	-2500
38.3156	1.9	95790	100539	-2500
39.84	1.9	99601	104350	-2500
41.4648	1.9	103663	108412	-2500
42.9892	1.9	107474	112223	-2500
44.4672	1.9	111169	115918	-2500
46.0924	1.9	115232	119981	-2500
47.7732	1.9	119434	124183	-2500
49.5056	1.9	123765	128514	-2500
51.0348	1.9	127588	132337	-2500
52.7668	1.9	131918	136667	-2500
54.392	1.9	135981	140730	-2500
56.1648	1.9	140413	145162	-2500
57.8412	1.9	144604	149353	-2500
59.568	1.9	148921	153670	-2500
61.2952	1.9	153239	157988	-2500
62.8696	1.9	157175	161924	-2500
64.6424	1.9	161607	166356	-2500
66.3696	1.9	165925	170674	-2500
68.0456	1.9	170115	174864	-2500
69.7268	1.9	174318	179067	-2500
71.2508	1.9	178128	182877	-2500
72.784	1.9	181961	186710	-2500
74.5112	1.9	186279	191028	-2500
76.2844	1.9	190712	195461	-2500
77.9144	1.9	194787	199536	-2500
79.3976	1.9	198495	203244	-2500
80.8756	1.9	202190	206939	-2500
82.5528	1.9	206383	211132	-2500
84.284	1.9	210711	215460	-2500
86.0568	1.9	215143	219892	-2500
87.7332	1.9	219334	224083	-2500
89.5112	1.9	223779	228528	-2500
91.0904	1.9	227727	232476	-2500
92.5744	1.9	231437	236186	-2500
94.0524	1.9	235132	239881	-2500
95.5308	1.9	238828	243577	-2500
97.0088	1.9	242523	247272	-2500
98.5828	1.9	246458	251207	-2500
100.1068	1.9	250268	255017	-2500
101.5852	1.9	253964	258713	-2500
103.0632	1.9	257659	262408	-2500
104.744	1.9	261861	266610	-2500
106.3792	1.9	265949	270698	-2500
107.8576	1.9	269645	274394	-2500
109.6304	1.9	274077	278826	-2500
111.4036	1.9	278510	283259	-2500
113.0848	1.9	282713	287462	-2500
114.664	1.9	286661	291410	-2500
116.2948	1.9	290738	295487	-2500
117.768	1.9	294421	299170	-2500
119.3932	1.9	298484	303233	-2500
121.0284	1.9	302572	307321	-2500
122.7056	1.9	306765	311514	-2500
124.3304	1.9	310827	315576	-2500
125.8544	1.9	314637	319386	-2500
127.4848	1.9	318713	323462	-2500
129.06	1.9	322651	327400	-2500
130.5928	1.9	326483	331232	-2500
132.224	1.9	330561	335310	-2500
133.956	1.9	334891	339640	-2500
135.6324	1.9	339082	343831	-2500
137.3132	1.9	343284	348033	-2500
138.8424	1.9	347107	351856	-2500
140.4216	1.9	351055	355804	-2500
141.8996	1.9	354750	359499	-2500
143.6316	1.9	359080	363829	-2500
145.3588	1.9	363398	368147	-2500
146.934	1.9	367336	372085	-2500
148.5132	1.9	371284	376033	-2500
150.0932	1.9	375234	379983	-2500
151.8252	1.9	379564	384313	-2500
153.5016	1.9	383755	388504	-2500
155.0764	1.9	387692	392441	-2500
156.8088	1.9	392023	396772	-2500
158.2868	1.9	395718	400467	-2500
159.7648	1.9	399413	404162	-2500
161.4412	1.9	403604	408353	-2500
162.9692	1.9	407424	412173	-2500
164.6464	1.9	411617	416366	-2500
166.3224	1.9	415807	420556	-2500
168.0036	1.9	420010	424759	-2500
169.5276	1.9	423820	428569	-2500
171.2596	1.9	428150	432899	-2500
172.9356	1.9	432340	437089	-2500
174.718	1.9	436796	441545	-2500
176.4912	1.9	441229	445978	-2500
178.1672	1.9	445419	450168	-2500
179.7972	1.9	449494	454243	-2500
181.4744	1.9	453687	458436	-2500
183.2516	1.9	458130	462879	-2500
184.8316	1.9	462080	466829	-2500
186.3556	1.9	465890	470639	-2500
187.8888	1.9	469723	474472	-2500
189.52	1.9	473801	478550	-2500
191.1448	1.9	477863	482612	-2500
192.826	1.9	482066	486815	-2500
194.5532	1.9	486384	491133	-2500
196.0824	1.9	490207	494956	-2500
197.7176	1.9	494295	499044	-2500
199.2924	1.9	498232	502981	-2500
200.8728	1.9	502183	506932	-2500
202.4468	1.9	506118	510867	-2500
204.128	1.9	510321	515070	-2500
205.8552	1.9	514639	519388	-2500
207.3792	1.9	518449	523198	-2500
209.0092	1.9	522524	527273	-2500
210.6352	1.9	526589	531338	-2500
212.1084	1.9	530272	535021	-2500
213.7844	1.9	534462	539211	-2500
215.4096	1.9	538525	543274	-2500
216.8828	1.9	542208	546957	-2500
218.3656	1.9	545915	550664	-2500
220.098	1.9	550246	554995	-2500
221.8752	1.9	554689	559438	-2500
223.5012	1.9	558754	563503	-2500
225.1312	1.9	562829	567578	-2500
226.9044	1.9	567262	572011	-2500
228.4284	1.9	571072	575821	-2500
229.9616	1.9	574905	579654	-2500
231.5416	1.9	578855	583604	-2500
233.1168	1.9	582793	587542	-2500
234.7928	1.9	586983	591732	-2500
236.418	1.9	591046	595795	-2500
238.1912	1.9	595479	600228	-2500
239.9732	1.9	599934	604683	-2500
241.7512	1.9	604379	609128	-2500
243.4276	1.9	608570	613319	-2500
245.1088	1.9	612773	617522	-2500
246.6328	1.9	616583	621332	-2500
248.2676	1.9	620670	625419	-2500
250	1.9	625001	629750	-2500
251.7732	1.9	629434	634183	-2500
253.546	1.9	633866	638615	-2500
255.176	1.9	637941	642690	-2500
261.8556	1.9	654640	659389	-2500
263.4308	1.9	658578	663327	-2500
264.964	1.9	662411	667160	-2500
266.5952	1.9	666489	671238	-2500
268.322	1.9	670806	675555	-2500
270.1044	1.9	675262	680011	-2500
271.8772	1.9	679694	684443	-2500
273.6504	1.9	684127	688876	-2500
275.2248	1.9	688063	692812	-2500
276.9568	1.9	692393	697142	-2500
278.638	1.9	696596	701345	-2500
280.264	1.9	700661	705410	-2500
281.894	1.9	704736	709485	-2500
283.3672	1.9	708419	713168	-2500
285.0484	1.9	712622	717371	-2500
286.5724	1.9	716432	721181	-2500
288.0504	1.9	720127	724876	-2500
289.6296	1.9	724075	728824	-2500
291.2556	1.9	728140	732889	-2500
293.0376	1.9	732595	737344	-2500
294.516	1.9	736291	741040	-2500
295.994	1.9	739986	744735	-2500
297.5232	1.9	743809	748558	-2500
299.2044	1.9	748012	752761	-2500
300.7792	1.9	751949	756698	-2500
302.3036	1.9	755760	760509	-2500
304.0304	1.9	760077	764826	-2500
305.6556	1.9	764140	768889	-2500
307.1288	1.9	767823	772572	-2500
308.81	1.9	772026	776775	-2500
