onset	duration	begsample	endsample	offset
9.4888	1.9	23723	28472	-2500
11.2668	1.9	28168	32917	-2500
12.892	1.9	32231	36980	-2500
14.568	1.9	36421	41170	-2500
16.0412	1.9	40104	44853	-2500
17.7732	1.9	44434	49183	-2500
19.2464	1.9	48117	52866	-2500
21.0244	1.9	52562	57311	-2500
22.5988	1.9	56498	61247	-2500
24.1736	1.9	60435	65184	-2500
25.85	1.9	64626	69375	-2500
27.4748	1.9	68688	73437	-2500
29.2068	1.9	73018	77767	-2500
30.7312	1.9	76829	81578	-2500
32.3564	1.9	80892	85641	-2500
33.8344	1.9	84587	89336	-2500
35.5664	1.9	88917	93666	-2500
37.2016	1.9	93005	97754	-2500
38.9288	1.9	97323	102072	-2500
40.5548	1.9	101388	106137	-2500
42.1848	1.9	105463	110212	-2500
43.76	1.9	109401	114150	-2500
45.238	1.9	113096	117845	-2500
46.8124	1.9	117032	121781	-2500
48.2856	1.9	120715	125464	-2500
49.9204	1.9	124802	129551	-2500
51.5976	1.9	128995	133744	-2500
53.1716	1.9	132930	137679	-2500
54.9448	1.9	137363	142112	-2500
56.7268	1.9	141818	146567	-2500
58.2052	1.9	145514	150263	-2500
59.7292	1.9	149324	154073	-2500
61.4564	1.9	153642	158391	-2500
63.1324	1.9	157832	162581	-2500
64.6056	1.9	161515	166264	-2500
66.0784	1.9	165197	169946	-2500
67.5568	1.9	168893	173642	-2500
69.284	1.9	173211	177960	-2500
71.016	1.9	177541	182290	-2500
72.646	1.9	181616	186365	-2500
74.226	1.9	185566	190315	-2500
75.9072	1.9	189769	194518	-2500
77.6392	1.9	194099	198848	-2500
79.1636	1.9	197910	202659	-2500
80.7424	1.9	201857	206606	-2500
82.3176	1.9	205795	210544	-2500
83.9988	1.9	209998	214747	-2500
85.772	1.9	214431	219180	-2500
87.346	1.9	218366	223115	-2500
89.0732	1.9	222684	227433	-2500
90.6532	1.9	226634	231383	-2500
92.1864	1.9	230467	235216	-2500
93.7612	1.9	234404	239153	-2500
95.2904	1.9	238227	242976	-2500
97.0676	1.9	242670	247419	-2500
98.7448	1.9	246863	251612	-2500
100.4208	1.9	251053	255802	-2500
101.9948	1.9	254988	259737	-2500
103.468	1.9	258671	263420	-2500
104.9412	1.9	262354	267103	-2500
106.7144	1.9	266787	271536	-2500
108.2472	1.9	270619	275368	-2500
110.0204	1.9	275052	279801	-2500
111.4936	1.9	278735	283484	-2500
113.1236	1.9	282810	287559	-2500
114.8508	1.9	287128	291877	-2500
116.4768	1.9	291193	295942	-2500
118.1532	1.9	295384	300133	-2500
119.676	1.9	299191	303940	-2500
