onset	duration	begsample	endsample	offset
3.4636	1.9	8660	13409	-2500
5.0384	1.9	12597	17346	-2500
6.6176	1.9	16545	21294	-2500
8.3448	1.9	20863	25612	-2500
9.9196	1.9	24800	29549	-2500
11.6468	1.9	29118	33867	-2500
13.3232	1.9	33309	38058	-2500
15.05	1.9	37626	42375	-2500
16.5232	1.9	41309	46058	-2500
18.1532	1.9	45384	50133	-2500
19.8856	1.9	49715	54464	-2500
21.5104	1.9	53777	58526	-2500
23.0856	1.9	57715	62464	-2500
24.7668	1.9	61918	66667	-2500
26.544	1.9	66361	71110	-2500
28.124	1.9	70311	75060	-2500
29.5972	1.9	73994	78743	-2500
31.2324	1.9	78082	82831	-2500
32.8072	1.9	82019	86768	-2500
34.4836	1.9	86210	90959	-2500
35.9564	1.9	89892	94641	-2500
37.5368	1.9	93843	98592	-2500
39.1108	1.9	97778	102527	-2500
40.792	1.9	101981	106730	-2500
42.418	1.9	106046	110795	-2500
43.992	1.9	109981	114730	-2500
45.4652	1.9	113664	118413	-2500
46.9384	1.9	117347	122096	-2500
48.6656	1.9	121665	126414	-2500
50.1896	1.9	125475	130224	-2500
51.7636	1.9	129410	134159	-2500
53.3388	1.9	133348	138097	-2500
54.9688	1.9	137423	142172	-2500
56.6048	1.9	141513	146262	-2500
58.082	1.9	145206	149955	-2500
59.6572	1.9	149144	153893	-2500
61.3892	1.9	153474	158223	-2500
63.1624	1.9	157907	162656	-2500
64.8384	1.9	162097	166846	-2500
66.5656	1.9	166415	171164	-2500
68.1396	1.9	170350	175099	-2500
69.7148	1.9	174288	179037	-2500
71.3908	1.9	178478	183227	-2500
73.118	1.9	182796	187545	-2500
74.596	1.9	186491	191240	-2500
76.2264	1.9	190567	195316	-2500
77.9992	1.9	194999	199748	-2500
79.5736	1.9	198935	203684	-2500
81.3468	1.9	203368	208117	-2500
83.1288	1.9	207823	212572	-2500
84.76	1.9	211901	216650	-2500
86.3848	1.9	215963	220712	-2500
88.158	1.9	220396	225145	-2500
89.8344	1.9	224587	229336	-2500
91.4592	1.9	228649	233398	-2500
93.1352	1.9	232839	237588	-2500
94.7616	1.9	236905	241654	-2500
96.3868	1.9	240968	245717	-2500
98.1636	1.9	245410	250159	-2500
99.79	1.9	249476	254225	-2500
101.4708	1.9	253678	258427	-2500
103.244	1.9	258111	262860	-2500
104.818	1.9	262046	266795	-2500
106.5912	1.9	266479	271228	-2500
108.2116	1.9	270530	275279	-2500
109.6844	1.9	274212	278961	-2500
111.3656	1.9	278415	283164	-2500
112.8896	1.9	282225	286974	-2500
114.566	1.9	286416	291165	-2500
116.1908	1.9	290478	295227	-2500
117.7152	1.9	294289	299038	-2500
119.2392	1.9	298099	302848	-2500
120.7624	1.9	301907	306656	-2500
122.4944	1.9	306237	310986	-2500
124.2676	1.9	310670	315419	-2500
125.9996	1.9	315000	319749	-2500
127.5788	1.9	318948	323697	-2500
129.0568	1.9	322643	327392	-2500
130.734	1.9	326836	331585	-2500
132.308	1.9	330771	335520	-2500
134.04	1.9	335101	339850	-2500
135.8132	1.9	339534	344283	-2500
137.5452	1.9	343864	348613	-2500
139.2776	1.9	348195	352944	-2500
140.9536	1.9	352385	357134	-2500
142.7356	1.9	356840	361589	-2500
144.2188	1.9	360548	365297	-2500
145.698	1.9	364246	368995	-2500
147.374	1.9	368436	373185	-2500
149.1512	1.9	372879	377628	-2500
150.8832	1.9	377209	381958	-2500
152.6104	1.9	381527	386276	-2500
154.1344	1.9	385337	390086	-2500
155.9128	1.9	389783	394532	-2500
157.4868	1.9	393718	398467	-2500
159.26	1.9	398151	402900	-2500
160.834	1.9	402086	406835	-2500
162.4648	1.9	406163	410912	-2500
164.2472	1.9	410619	415368	-2500
165.8732	1.9	414684	419433	-2500
167.6504	1.9	419127	423876	-2500
169.4236	1.9	423560	428309	-2500
171.2016	1.9	428005	432754	-2500
172.8776	1.9	432195	436944	-2500
174.6048	1.9	436513	441262	-2500
176.082	1.9	440206	444955	-2500
177.5612	1.9	443904	448653	-2500
179.1352	1.9	447839	452588	-2500
180.7652	1.9	451914	456663	-2500
182.4424	1.9	456107	460856	-2500
183.9756	1.9	459940	464689	-2500
185.5044	1.9	463762	468511	-2500
187.0848	1.9	467713	472462	-2500
188.8628	1.9	472158	476907	-2500
190.4368	1.9	476093	480842	-2500
192.072	1.9	480181	484930	-2500
193.698	1.9	484246	488995	-2500
195.2824	1.9	488207	492956	-2500
196.8112	1.9	492029	496778	-2500
198.5896	1.9	496475	501224	-2500
200.1696	1.9	500425	505174	-2500
201.8456	1.9	504615	509364	-2500
203.4756	1.9	508690	513439	-2500
205.208	1.9	513021	517770	-2500
206.8428	1.9	517108	521857	-2500
213.4216	1.9	533555	538304	-2500
214.8944	1.9	537237	541986	-2500
216.3728	1.9	540933	545682	-2500
218.0488	1.9	545123	549872	-2500
219.5728	1.9	548933	553682	-2500
221.254	1.9	553136	557885	-2500
222.732	1.9	556831	561580	-2500
224.3112	1.9	560779	565528	-2500
225.8912	1.9	564729	569478	-2500
227.6644	1.9	569162	573911	-2500
229.1976	1.9	572995	577744	-2500
230.9708	1.9	577428	582177	-2500
232.6516	1.9	581630	586379	-2500
234.3328	1.9	585833	590582	-2500
236.01	1.9	590026	594775	-2500
237.6352	1.9	594089	598838	-2500
239.3672	1.9	598419	603168	-2500
241.0484	1.9	602622	607371	-2500
242.6784	1.9	606697	611446	-2500
244.4056	1.9	611015	615764	-2500
245.8836	1.9	614710	619459	-2500
247.4076	1.9	618520	623269	-2500
249.1348	1.9	622838	627587	-2500
250.8108	1.9	627028	631777	-2500
252.3352	1.9	630839	635588	-2500
253.808	1.9	634521	639270	-2500
255.3824	1.9	638457	643206	-2500
257.0132	1.9	642534	647283	-2500
258.5464	1.9	646367	651116	-2500
260.0296	1.9	650075	654824	-2500
261.8028	1.9	654508	659257	-2500
263.5808	1.9	658953	663702	-2500
265.11	1.9	662776	667525	-2500
266.684	1.9	666711	671460	-2500
268.254	1.9	670636	675385	-2500
269.7324	1.9	674332	679081	-2500
271.4632	1.9	678659	683408	-2500
273.1404	1.9	682852	687601	-2500
274.7144	1.9	686787	691536	-2500
276.2896	1.9	690725	695474	-2500
278.0716	1.9	695180	699929	-2500
279.5548	1.9	698888	703637	-2500
281.13	1.9	702826	707575	-2500
282.6592	1.9	706649	711398	-2500
284.1832	1.9	710459	715208	-2500
285.6612	1.9	714154	718903	-2500
287.2352	1.9	718089	722838	-2500
288.8104	1.9	722027	726776	-2500
290.2884	1.9	725722	730471	-2500
292.0708	1.9	730178	734927	-2500
293.6968	1.9	734243	738992	-2500
295.3728	1.9	738433	743182	-2500
296.998	1.9	742496	747245	-2500
298.5272	1.9	746319	751068	-2500
300.2592	1.9	750649	755398	-2500
301.9864	1.9	754967	759716	-2500
303.6116	1.9	759030	763779	-2500
305.3844	1.9	763462	768211	-2500
