onset	duration	begsample	endsample	offset
2.3512	1.9	5879	10628	-2500
3.9208	1.9	9803	14552	-2500
5.5512	1.9	13879	18628	-2500
7.1312	1.9	17829	22578	-2500
8.7564	1.9	21892	26641	-2500
10.2904	1.9	25727	30476	-2500
11.9256	1.9	29815	34564	-2500
13.4544	1.9	33637	38386	-2500
15.0808	1.9	37703	42452	-2500
16.7568	1.9	41893	46642	-2500
18.2848	1.9	45713	50462	-2500
19.7628	1.9	49408	54157	-2500
21.292	1.9	53231	57980	-2500
22.816	1.9	57041	61790	-2500
24.2944	1.9	60737	65486	-2500
25.7672	1.9	64419	69168	-2500
27.4436	1.9	68610	73359	-2500
29.1196	1.9	72800	77549	-2500
30.8468	1.9	77118	81867	-2500
32.4216	1.9	81055	85804	-2500
34.098	1.9	85246	89995	-2500
35.7232	1.9	89309	94058	-2500
37.252	1.9	93131	97880	-2500
38.9284	1.9	97322	102071	-2500
40.6092	1.9	101524	106273	-2500
42.3824	1.9	105957	110706	-2500
44.1096	1.9	110275	115024	-2500
45.7348	1.9	114338	119087	-2500
47.3648	1.9	118413	123162	-2500
48.996	1.9	122491	127240	-2500
50.5288	1.9	126323	131072	-2500
52.0992	1.9	130249	134998	-2500
53.7752	1.9	134439	139188	-2500
55.3504	1.9	138377	143126	-2500
57.1276	1.9	142820	147569	-2500
58.6056	1.9	146515	151264	-2500
60.3328	1.9	150833	155582	-2500
62.06	1.9	155151	159900	-2500
63.538	1.9	158846	163595	-2500
65.0668	1.9	162668	167417	-2500
66.596	1.9	166491	171240	-2500
68.3732	1.9	170934	175683	-2500
70.0544	1.9	175137	179886	-2500
71.8272	1.9	179569	184318	-2500
73.6004	1.9	184002	188751	-2500
75.3776	1.9	188445	193194	-2500
76.8608	1.9	192153	196902	-2500
78.3388	1.9	195848	200597	-2500
79.868	1.9	199671	204420	-2500
81.5492	1.9	203874	208623	-2500
83.0732	1.9	207684	212433	-2500
84.5464	1.9	211367	216116	-2500
86.1764	1.9	215442	220191	-2500
87.6544	1.9	219137	223886	-2500
89.2296	1.9	223075	227824	-2500
90.9056	1.9	227265	232014	-2500
92.3788	1.9	230948	235697	-2500
94.1108	1.9	235278	240027	-2500
95.884	1.9	239711	244460	-2500
97.56	1.9	243901	248650	-2500
99.3424	1.9	248357	253106	-2500
100.8204	1.9	252052	256801	-2500
102.5936	1.9	256485	261234	-2500
104.3668	1.9	260918	265667	-2500
105.9456	1.9	264865	269614	-2500
107.5716	1.9	268930	273679	-2500
109.0448	1.9	272613	277362	-2500
110.5728	1.9	276433	281182	-2500
112.3004	1.9	280752	285501	-2500
114.0784	1.9	285197	289946	-2500
115.6024	1.9	289007	293756	-2500
117.3892	1.9	293474	298223	-2500
119.1624	1.9	297907	302656	-2500
