onset	duration	begsample	endsample	offset
31.594	0.9	78986	81235	-750
32.1512	0.9	80379	82628	-750
32.7044	0.9	81762	84011	-750
33.2584	0.9	83147	85396	-750
33.8124	0.9	84532	86781	-750
34.3652	0.9	85914	88163	-750
34.9192	0.9	87299	89548	-750
35.4732	0.9	88684	90933	-750
36.0264	0.9	90067	92316	-750
36.5804	0.9	91452	93701	-750
37.1384	0.9	92847	95096	-750
37.6924	0.9	94232	96481	-750
38.2464	0.9	95617	97866	-750
38.7996	0.9	97000	99249	-750
39.3536	0.9	98385	100634	-750
39.9076	0.9	99770	102019	-750
40.4608	0.9	101153	103402	-750
41.0148	0.9	102538	104787	-750
41.5676	0.9	103920	106169	-750
42.122	0.9	105306	107555	-750
42.676	0.9	106691	108940	-750
43.2288	0.9	108073	110322	-750
43.7828	0.9	109458	111707	-750
44.3372	0.9	110844	113093	-750
44.89	0.9	112226	114475	-750
45.444	0.9	113611	115860	-750
45.9972	0.9	114994	117243	-750
46.5512	0.9	116379	118628	-750
47.1052	0.9	117764	120013	-750
47.6584	0.9	119147	121396	-750
48.2124	0.9	120532	122781	-750
48.7664	0.9	121917	124166	-750
49.3192	0.9	123299	125548	-750
49.8736	0.9	124685	126934	-750
50.4264	0.9	126067	128316	-750
50.9804	0.9	127452	129701	-750
51.5344	0.9	128837	131086	-750
52.0876	0.9	130220	132469	-750
52.6416	0.9	131605	133854	-750
53.1956	0.9	132990	135239	-750
53.7484	0.9	134372	136621	-750
54.3028	0.9	135758	138007	-750
54.8556	0.9	137140	139389	-750
55.4096	0.9	138525	140774	-750
55.9636	0.9	139910	142159	-750
56.5168	0.9	141293	143542	-750
57.0708	0.9	142678	144927	-750
57.624	0.9	144061	146310	-750
58.178	0.9	145446	147695	-750
58.732	0.9	146831	149080	-750
59.2848	0.9	148213	150462	-750
59.8392	0.9	149599	151848	-750
60.3932	0.9	150984	153233	-750
60.946	0.9	152366	154615	-750
61.5	0.9	153751	156000	-750
62.0532	0.9	155134	157383	-750
62.6072	0.9	156519	158768	-750
63.1612	0.9	157904	160153	-750
63.714	0.9	159286	161535	-750
64.2684	0.9	160672	162921	-750
64.8224	0.9	162057	164306	-750
65.3752	0.9	163439	165688	-750
65.9292	0.9	164824	167073	-750
66.4824	0.9	166207	168456	-750
67.0364	0.9	167592	169841	-750
67.5904	0.9	168977	171226	-750
68.1436	0.9	170360	172609	-750
68.6976	0.9	171745	173994	-750
69.2508	0.9	173128	175377	-750
69.8048	0.9	174513	176762	-750
70.3588	0.9	175898	178147	-750
70.9116	0.9	177280	179529	-750
71.4656	0.9	178665	180914	-750
72.0196	0.9	180050	182299	-750
72.5728	0.9	181433	183682	-750
73.1268	0.9	182818	185067	-750
73.68	0.9	184201	186450	-750
74.234	0.9	185586	187835	-750
74.788	0.9	186971	189220	-750
75.3408	0.9	188353	190602	-750
75.8948	0.9	189738	191987	-750
76.4492	0.9	191124	193373	-750
77.002	0.9	192506	194755	-750
77.556	0.9	193891	196140	-750
78.1092	0.9	195274	197523	-750
78.6632	0.9	196659	198908	-750
79.2172	0.9	198044	200293	-750
79.7704	0.9	199427	201676	-750
80.3244	0.9	200812	203061	-750
80.8772	0.9	202194	204443	-750
81.4312	0.9	203579	205828	-750
81.9856	0.9	204965	207214	-750
82.5384	0.9	206347	208596	-750
83.0924	0.9	207732	209981	-750
83.6464	0.9	209117	211366	-750
84.1996	0.9	210500	212749	-750
84.7536	0.9	211885	214134	-750
85.3068	0.9	213268	215517	-750
85.8608	0.9	214653	216902	-750
86.4148	0.9	216038	218287	-750
86.9676	0.9	217420	219669	-750
87.5216	0.9	218805	221054	-750
88.076	0.9	220191	222440	-750
88.6288	0.9	221573	223822	-750
89.1828	0.9	222958	225207	-750
89.736	0.9	224341	226590	-750
90.29	0.9	225726	227975	-750
90.844	0.9	227111	229360	-750
91.3972	0.9	228494	230743	-750
91.9512	0.9	229879	232128	-750
92.504	0.9	231261	233510	-750
93.058	0.9	232646	234895	-750
93.612	0.9	234031	236280	-750
94.1652	0.9	235414	237663	-750
94.7192	0.9	236799	239048	-750
95.2732	0.9	238184	240433	-750
95.8264	0.9	239567	241816	-750
96.3804	0.9	240952	243201	-750
96.9332	0.9	242334	244583	-750
97.4876	0.9	243720	245969	-750
98.0416	0.9	245105	247354	-750
98.5944	0.9	246487	248736	-750
99.1484	0.9	247872	250121	-750
99.7028	0.9	249258	251507	-750
100.2556	0.9	250640	252889	-750
100.8096	0.9	252025	254274	-750
101.3628	0.9	253408	255657	-750
101.9168	0.9	254793	257042	-750
102.4708	0.9	256178	258427	-750
103.0236	0.9	257560	259809	-750
103.578	0.9	258946	261195	-750
104.1308	0.9	260328	262577	-750
104.6848	0.9	261713	263962	-750
105.2388	0.9	263098	265347	-750
105.792	0.9	264481	266730	-750
106.346	0.9	265866	268115	-750
106.9	0.9	267251	269500	-750
107.4532	0.9	268634	270883	-750
108.0072	0.9	270019	272268	-750
108.56	0.9	271401	273650	-750
109.114	0.9	272786	275035	-750
109.6684	0.9	274172	276421	-750
110.2212	0.9	275554	277803	-750
110.7756	0.9	276940	279189	-750
111.3296	0.9	278325	280574	-750
111.8824	0.9	279707	281956	-750
112.4364	0.9	281092	283341	-750
112.9892	0.9	282474	284723	-750
113.5436	0.9	283860	286109	-750
114.0976	0.9	285245	287494	-750
114.6504	0.9	286627	288876	-750
115.2044	0.9	288012	290261	-750
115.7584	0.9	289397	291646	-750
116.3116	0.9	290780	293029	-750
116.8656	0.9	292165	294414	-750
117.4188	0.9	293548	295797	-750
117.9728	0.9	294933	297182	-750
118.5268	0.9	296318	298567	-750
119.0796	0.9	297700	299949	-750
119.634	0.9	299086	301335	-750
120.1868	0.9	300468	302717	-750
120.7408	0.9	301853	304102	-750
121.2948	0.9	303238	305487	-750
121.848	0.9	304621	306870	-750
122.402	0.9	306006	308255	-750
122.9564	0.9	307392	309641	-750
123.5092	0.9	308774	311023	-750
124.0632	0.9	310159	312408	-750
124.616	0.9	311541	313790	-750
125.1704	0.9	312927	315176	-750
125.7244	0.9	314312	316561	-750
126.2772	0.9	315694	317943	-750
126.8312	0.9	317079	319328	-750
127.3904	0.9	318477	320726	-750
127.9432	0.9	319859	322108	-750
128.4976	0.9	321245	323494	-750
129.0508	0.9	322628	324877	-750
129.6048	0.9	324013	326262	-750
130.1588	0.9	325398	327647	-750
130.7116	0.9	326780	329029	-750
131.2656	0.9	328165	330414	-750
131.8196	0.9	329550	331799	-750
132.3728	0.9	330933	333182	-750
132.9268	0.9	332318	334567	-750
133.4796	0.9	333700	335949	-750
134.0336	0.9	335085	337334	-750
134.588	0.9	336471	338720	-750
135.1408	0.9	337853	340102	-750
135.6948	0.9	339238	341487	-750
136.248	0.9	340621	342870	-750
136.802	0.9	342006	344255	-750
137.356	0.9	343391	345640	-750
137.9092	0.9	344774	347023	-750
138.4632	0.9	346159	348408	-750
139.0172	0.9	347544	349793	-750
139.57	0.9	348926	351175	-750
140.1244	0.9	350312	352561	-750
140.6784	0.9	351697	353946	-750
141.2312	0.9	353079	355328	-750
141.7856	0.9	354465	356714	-750
142.3384	0.9	355847	358096	-750
142.8924	0.9	357232	359481	-750
143.4464	0.9	358617	360866	-750
143.9996	0.9	360000	362249	-750
144.5536	0.9	361385	363634	-750
145.1064	0.9	362767	365016	-750
145.6604	0.9	364152	366401	-750
146.2144	0.9	365537	367786	-750
146.7676	0.9	366920	369169	-750
147.3216	0.9	368305	370554	-750
147.8756	0.9	369690	371939	-750
148.4288	0.9	371073	373322	-750
148.9828	0.9	372458	374707	-750
149.5356	0.9	373840	376089	-750
150.09	0.9	375226	377475	-750
150.644	0.9	376611	378860	-750
151.1968	0.9	377993	380242	-750
151.7508	0.9	379378	381627	-750
152.3056	0.9	380765	383014	-750
152.858	0.9	382146	384395	-750
153.412	0.9	383531	385780	-750
153.9652	0.9	384914	387163	-750
154.5192	0.9	386299	388548	-750
155.0732	0.9	387684	389933	-750
155.626	0.9	389066	391315	-750
156.1804	0.9	390452	392701	-750
156.7332	0.9	391834	394083	-750
157.2872	0.9	393219	395468	-750
157.8412	0.9	394604	396853	-750
158.3944	0.9	395987	398236	-750
158.9484	0.9	397372	399621	-750
159.5024	0.9	398757	401006	-750
160.0604	0.9	400152	402401	-750
160.6144	0.9	401537	403786	-750
161.1676	0.9	402920	405169	-750
161.7216	0.9	404305	406554	-750
162.2756	0.9	405690	407939	-750
162.8288	0.9	407073	409322	-750
163.3828	0.9	408458	410707	-750
163.9368	0.9	409843	412092	-750
164.4896	0.9	411225	413474	-750
165.044	0.9	412611	414860	-750
165.5968	0.9	413993	416242	-750
166.1508	0.9	415378	417627	-750
166.7048	0.9	416763	419012	-750
167.258	0.9	418146	420395	-750
167.812	0.9	419531	421780	-750
168.366	0.9	420916	423165	-750
168.9192	0.9	422299	424548	-750
169.4732	0.9	423684	425933	-750
170.026	0.9	425066	427315	-750
170.58	0.9	426451	428700	-750
171.134	0.9	427836	430085	-750
171.6872	0.9	429219	431468	-750
172.2412	0.9	430604	432853	-750
172.7944	0.9	431987	434236	-750
173.3484	0.9	433372	435621	-750
173.9024	0.9	434757	437006	-750
174.4556	0.9	436140	438389	-750
175.0096	0.9	437525	439774	-750
175.5636	0.9	438910	441159	-750
176.1164	0.9	440292	442541	-750
176.6704	0.9	441677	443926	-750
177.2236	0.9	443060	445309	-750
177.7776	0.9	444445	446694	-750
178.3316	0.9	445830	448079	-750
178.8848	0.9	447213	449462	-750
179.4388	0.9	448598	450847	-750
179.9928	0.9	449983	452232	-750
180.5456	0.9	451365	453614	-750
181.1	0.9	452751	455000	-750
181.6528	0.9	454133	456382	-750
182.2068	0.9	455518	457767	-750
182.7608	0.9	456903	459152	-750
183.314	0.9	458286	460535	-750
183.868	0.9	459671	461920	-750
